Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
Afghanistan,22890,426.0,3326,19138.0,748,21,313,1.86,14.53,12.81,18054,4836,26.79,Eastern Mediterranean
Albania,1385,35.0,1001,349.0,44,1,21,2.53,72.27,3.5,1197,188,15.71,Europe
Algeria,10589,741.0,7255,2593.0,105,9,181,7.0,68.51,10.21,9831,758,7.71,Africa
Andorra,852,51.0,780,21.0,0,0,21,5.99,91.55,6.54,852,0,0.0,Europe
Angola,118,5.0,41,72.0,5,1,1,4.24,34.75,12.2,86,32,37.21,Africa
Antigua and Barbuda,26,3.0,20,3.0,0,0,0,11.54,76.92,15.0,26,0,0.0,Americas
Argentina,27373,765.0,8332,18276.0,1386,30,341,2.79,30.44,9.18,20197,7176,35.53,Americas
Armenia,14669,245.0,5466,8958.0,566,18,240,1.67,37.26,4.48,11221,3448,30.73,Europe
Australia,7289,102.0,6782,405.0,4,0,23,1.4,93.04,1.5,7247,42,0.58,Western Pacific
Austria,17034,674.0,15949,411.0,29,1,39,3.96,93.63,4.23,16805,229,1.36,Europe
Azerbaijan,8882,108.0,4930,3844.0,352,6,210,1.22,55.51,2.19,6522,2360,36.19,Europe
Bahamas,103,11.0,68,24.0,0,0,1,10.68,66.02,16.18,102,1,0.98,Americas
Bahrain,16667,34.0,11487,5146.0,467,3,378,0.2,68.92,0.3,13296,3371,25.35,Eastern Mediterranean
Bangladesh,78052,1049.0,16747,60256.0,3187,37,847,1.34,21.46,6.26,57563,20489,35.59,South-East Asia
Barbados,96,7.0,83,6.0,0,0,0,7.29,86.46,8.43,92,4,4.35,Americas
Belarus,51816,293.0,26643,24880.0,750,5,976,0.57,51.42,1.1,45981,5835,12.69,Europe
Belgium,59711,9636.0,16453,33622.0,142,7,61,16.14,27.55,58.57,58767,944,1.61,Europe
Belize,20,2.0,16,2.0,0,0,0,10.0,80.0,12.5,18,2,11.11,Americas
Benin,305,4.0,188,113.0,0,0,0,1.31,61.64,2.13,261,44,16.86,Africa
Bhutan,62,0.0,19,43.0,3,0,1,0.0,30.65,0.0,47,15,31.91,South-East Asia
Bolivia,16165,533.0,2372,13260.0,884,21,111,3.3,14.67,22.47,12245,3920,32.01,Americas
Bosnia and Herzegovina,2832,161.0,2100,571.0,57,0,37,5.69,74.15,7.67,2594,238,9.18,Europe
Botswana,48,1.0,24,23.0,0,0,0,2.08,50.0,4.17,40,8,20.0,Africa
Brazil,802828,40919.0,429965,331944.0,30412,1239,16049,5.1,53.56,9.52,614941,187887,30.55,Americas
Brunei,141,2.0,138,1.0,0,0,0,1.42,97.87,1.45,141,0,0.0,Western Pacific
Bulgaria,3086,168.0,1688,1230.0,93,1,24,5.44,54.7,9.95,2585,501,19.38,Europe
Burkina Faso,892,53.0,790,49.0,1,0,25,5.94,88.57,6.71,885,7,0.79,Africa
Burma,260,6.0,165,89.0,12,0,0,2.31,63.46,3.64,236,24,10.17,South-East Asia
Burundi,85,1.0,45,39.0,2,0,0,1.18,52.94,2.22,63,22,34.92,Africa
Cabo Verde,657,6.0,294,357.0,42,1,0,0.91,44.75,2.04,502,155,30.88,Africa
Cambodia,126,0.0,125,1.0,0,0,0,0.0,99.21,0.0,125,1,0.8,Western Pacific
Cameroon,8681,0.0,0,8681.0,0,0,0,0.0,0.0,0.0,6789,1892,27.87,Africa
Canada,99146,8008.0,0,91138.0,439,33,0,8.08,0.0,inf,95256,3890,4.08,Americas
Central African Republic,1952,5.0,38,1909.0,64,0,0,0.26,1.95,13.16,1288,664,51.55,Africa
Chad,848,72.0,706,70.0,2,0,0,8.49,83.25,10.2,828,20,2.42,Africa
Chile,154092,2648.0,126444,25000.0,5636,173,4664,1.72,82.06,2.09,118292,35800,30.26,Americas
China,84216,4594.0,76427,3195.0,7,0,7,5.46,90.75,6.01,84171,45,0.05,Western Pacific
Colombia,43810,1505.0,17366,24939.0,1604,66,800,3.44,39.64,8.67,33466,10344,30.91,Americas
Comoros,162,2.0,97,63.0,0,0,0,1.23,59.88,2.06,132,30,22.73,Africa
Congo (Brazzaville),728,24.0,221,483.0,0,0,0,3.3,30.36,10.86,611,117,19.15,Africa
Congo (Kinshasa),4515,98.0,567,3850.0,125,2,2,2.17,12.56,17.28,3644,871,23.9,Africa
Costa Rica,1538,12.0,722,804.0,77,0,0,0.78,46.94,1.66,1194,344,28.81,Americas
Cote d'Ivoire,4404,41.0,2212,2151.0,223,0,38,0.93,50.23,1.85,3262,1142,35.01,Africa
Croatia,2249,106.0,2132,11.0,0,0,2,4.71,94.8,4.97,2247,2,0.09,Europe
Cuba,2219,84.0,1893,242.0,8,1,7,3.79,85.31,4.44,2119,100,4.72,Americas
Cyprus,975,18.0,807,150.0,1,0,0,1.85,82.77,2.23,958,17,1.77,Europe
Czechia,9855,0.0,0,9855.0,31,0,0,0.0,0.0,0.0,9494,361,3.8,Europe
Denmark,12222,593.0,11142,487.0,19,0,51,4.85,91.16,5.32,11998,224,1.87,Europe
Djibouti,4398,37.0,2519,1842.0,25,3,259,0.84,57.28,1.47,4054,344,8.49,Eastern Mediterranean
Dominica,18,0.0,16,2.0,0,0,0,0.0,88.89,0.0,18,0,0.0,Americas
Dominican Republic,21437,561.0,12541,8335.0,629,11,223,2.62,58.5,4.47,18319,3118,17.02,Americas
Ecuador,44440,3720.0,21862,18858.0,0,0,0,8.37,49.19,17.02,40966,3474,8.48,Americas
Egypt,39726,1377.0,10691,27658.0,1442,35,402,3.47,26.91,12.88,29767,9959,33.46,Eastern Mediterranean
El Salvador,3373,68.0,1504,1801.0,99,4,66,2.02,44.59,4.52,2781,592,21.29,Americas
Equatorial Guinea,1306,12.0,200,1094.0,0,0,0,0.92,15.31,6.0,1306,0,0.0,Africa
